Area_Name,Year,Group_Name,Sub_Group_Name,CD_Deaths_Reported,CD_No_of_Autopsy_conducted,CD_No_of_Cases_registered_in_connection_with_deaths,CD_No_of_Judicial_enquiry_orderedconducted,CD_No_of_Magisterial_enquiry_orderedconducted,CD_No_of_Policemen_Charge_sheeted,CD_No_of_Policemen_Convicted
Andhra Pradesh,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,5,5,2,2,2,0,0
Arunachal Pradesh,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Assam,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,0,0,1,0,0
Bihar,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chandigarh,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chhattisgarh,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,7,0,0,0,1,0,0
Gujarat,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,4,3,1,1,4,2,0
Haryana,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,0,1,0,0,1,0
Himachal Pradesh,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,0,1,0,1,0,0
Jammu & Kashmir,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Jharkhand,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Karnataka,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Kerala,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,NULL,NULL,NULL,NULL,NULL,NULL
Madhya Pradesh,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,3,3,NULL,NULL,3,NULL,NULL
Maharashtra,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,5,5,2,0,0,0,0
Meghalaya,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Mizoram,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,1,1,0,2,0,0
Nagaland,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Odisha,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,3,1
Punjab,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,0,0,0,1,0,0
Rajasthan,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,NULL,NULL,NULL,1,NULL,NULL
West Bengal,2001,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,6,1,0,0,2,0,0
Andhra Pradesh,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,1,0,1,0,0
Assam,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,9,9,9,0,9,0,0
Bihar,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chhattisgarh,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,0,0,0,1,0,0
Daman & Diu,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Gujarat,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,3,3,1,0,2,0,0
Haryana,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Himachal Pradesh,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Karnataka,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Madhya Pradesh,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,0,0,1,0,0
Maharashtra,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,6,6,1,0,3,0,0
Meghalaya,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Mizoram,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,NULL,NULL,1,NULL,NULL
Nagaland,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Odisha,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Puducherry,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,NULL,NULL,NULL,NULL,NULL,NULL
Punjab,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Rajasthan,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,3,3,1,NULL,3,NULL,NULL
Tamil Nadu,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Uttar Pradesh,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,6,6,6,NULL,6,1,NULL
West Bengal,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Andhra Pradesh,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,0,1,0,1,0,0
Assam,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Bihar,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,2,2,0,2,0,0
Chandigarh,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chhattisgarh,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,0,0,1,0,0
Daman & Diu,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Gujarat,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,5,4,2,1,2,0,0
Haryana,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Himachal Pradesh,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Karnataka,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Madhya Pradesh,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,NULL,NULL,1,NULL,NULL
Maharashtra,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,9,9,0,0,0,0,0
Meghalaya,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,0,1,0,1,1,0
Mizoram,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,NULL,2,NULL,2,NULL,NULL
Nagaland,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Odisha,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Punjab,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,3,1,2,0,3,2,0
Tamil Nadu,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,NULL,NULL,NULL,NULL,NULL,NULL
Uttar Pradesh,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,5,5,5,1,4,1,NULL
West Bengal,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,3,3,0,0,3,0,0
Andhra Pradesh,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,11,11,11,0,11,1,0
Arunachal Pradesh,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,0,1,0,2,0,0
Bihar,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chandigarh,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chhattisgarh,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,1,1,1,1,2
Gujarat,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,5,2,0,0,4,0,0
Himachal Pradesh,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,4,0,0,0,1,0,0
Karnataka,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Madhya Pradesh,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Maharashtra,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,8,8,0,0,1,0,0
Manipur,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Meghalaya,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Mizoram,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Nagaland,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Odisha,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Punjab,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,1,1,1,0,4,0
Tamil Nadu,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,NULL,NULL,NULL,NULL,NULL,NULL
Uttar Pradesh,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
West Bengal,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,4,4,0,0,4,0,0
Andhra Pradesh,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,42,42,42,0,0,0,0
Arunachal Pradesh,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Assam,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chandigarh,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chhattisgarh,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Goa,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,NULL,NULL,1,NULL,NULL
Gujarat,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,10,3,2,1,10,0,0
Haryana,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Himachal Pradesh,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Jammu & Kashmir,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Karnataka,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,2,1,0,0,0,0
Madhya Pradesh,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Maharashtra,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,9,8,2,0,1,0,0
Manipur,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Meghalaya,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,0,1,0,1,0,0
Mizoram,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Nagaland,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Odisha,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Punjab,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Rajasthan,2005,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,NULL,NULL,1,NULL,NULL
